Player,Nation,Pos,is_gk,is_df,is_mf,is_fw,Season,Squad,Age,Starts,Min,90s,xG.1,xAG.1,xG+xAG,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Nathan Patterson,SCO,DF,0,1,0,0,2023-2024,Everton,21,9,1005,11.2,0.03,0.15,0.18,60.45,4.38,17.77,24.55,18.66,0.8,60.45,1.61,0.62,3.47,0.89,4.96,25.98,112.77,57.32,1.52,1.25,0.36,1.7,0.54,30.18,3.48
Myles Peart-Harris,ENG,"DF,MF",0,1,1,0,2023-2024,Brentford,20,0,13,0.1,0.0,0.12,0.12,110.0,0.0,10.0,30.0,70.0,10.0,110.0,0.0,0.0,,0.0,,80.0,640.0,370.0,20.0,10.0,0.0,0.0,20.0,80.0,10.0
Sydie Peck,ENG,MF,0,0,1,0,2023-2024,Sheffield Utd,18,0,10,0.1,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Facundo Pellistri,URU,"FW,MF",0,0,1,1,2023-2024,Manchester Utd,21,1,172,1.9,0.38,0.05,0.43,61.58,2.63,12.11,19.47,30.53,6.84,61.58,5.79,2.63,23.95,2.11,19.16,38.95,253.68,97.37,3.16,3.68,2.11,2.11,2.11,41.58,16.32
Andreas Pereira,BRA,MF,0,0,1,0,2023-2024,Fulham,27,34,2613,29.0,0.16,0.24,0.4,52.28,0.69,5.55,22.83,24.24,2.21,52.28,1.41,0.66,1.6,0.76,1.85,28.59,153.79,69.52,1.93,1.76,0.45,1.69,1.41,34.93,4.31
Ivan Perišić,CRO,FW,0,0,0,1,2023-2024,Tottenham,34,0,103,1.1,0.1,0.75,0.85,84.55,2.73,21.82,18.18,44.55,9.09,84.55,6.36,3.64,51.91,2.73,39.0,59.09,361.82,251.82,13.64,4.55,5.45,1.82,0.0,67.27,15.45
Đorđe Petrović,SRB,GK,1,0,0,0,2023-2024,Chelsea,23,22,1987,22.1,0.0,0.0,0.0,38.69,34.16,38.55,0.14,0.0,0.0,38.69,0.0,0.0,,0.0,,21.81,93.94,49.91,0.0,0.0,0.0,0.05,0.0,21.49,0.0
Kalvin Phillips,ENG,MF,0,0,1,0,2023-2024,West Ham,27,3,309,3.4,0.02,0.0,0.02,63.24,2.06,12.65,45.0,6.18,0.29,63.24,1.47,0.29,5.88,1.18,23.53,32.35,172.06,70.59,0.88,0.29,0.0,1.18,0.88,40.0,1.18
Kalvin Phillips,ENG,MF,0,0,1,0,2023-2024,Manchester City,27,0,93,1.0,0.07,0.0,0.07,87.0,3.0,14.0,52.0,23.0,1.0,87.0,3.0,1.0,33.3,2.0,66.7,51.0,402.0,221.0,7.0,5.0,1.0,4.0,2.0,57.0,3.0
Jaden Philogene Bidace,ENG,FW,0,0,0,1,2023-2024,Aston Villa,21,0,4,0.0,0.0,0.0,0.0,inf,,inf,inf,inf,inf,inf,,,,,,inf,inf,inf,inf,inf,inf,,,inf,inf
Jordan Pickford,ENG,GK,1,0,0,0,2023-2024,Everton,29,38,3420,38.0,0.0,0.0,0.0,44.21,29.11,40.63,3.71,0.0,0.0,44.21,0.03,0.03,2.63,0.0,0.0,23.79,158.26,102.34,0.03,0.0,0.0,0.0,0.0,20.34,0.0
Ethan Pinnock,JAM,DF,0,1,0,0,2023-2024,Brentford,30,28,2521,28.0,0.07,0.04,0.11,63.14,10.82,35.75,23.61,4.04,1.54,63.14,0.36,0.21,2.14,0.11,1.07,32.93,181.96,112.86,0.39,0.18,0.04,0.39,0.14,36.61,0.57
Nick Pope,ENG,GK,1,0,0,0,2023-2024,Newcastle Utd,31,15,1345,14.9,0.0,0.0,0.0,29.13,24.56,28.72,0.34,0.07,0.07,29.13,0.0,0.0,,0.0,,14.56,76.98,42.48,0.0,0.0,0.0,0.0,0.0,11.54,0.0
Pedro Porro,ESP,DF,0,1,0,0,2023-2024,Tottenham,23,35,3089,34.3,0.09,0.21,0.3,81.22,4.69,22.83,32.01,27.08,2.01,81.22,1.66,0.76,1.33,0.7,1.23,39.91,159.88,85.28,1.66,1.34,0.29,1.08,0.44,48.69,4.61
Jarell Quansah,ENG,DF,0,1,0,0,2023-2024,Liverpool,20,13,1190,13.2,0.08,0.01,0.08,97.27,6.97,39.47,54.85,3.48,0.61,97.27,0.53,0.3,4.33,0.23,3.25,67.73,374.47,189.17,0.98,0.76,0.0,0.23,0.15,72.12,0.08
Ionuț Radu,ROU,GK,1,0,0,0,2023-2024,Bournemouth,26,2,180,2.0,0.0,0.0,0.0,35.0,32.0,35.0,0.0,0.0,0.0,35.0,0.0,0.0,,0.0,,25.5,107.5,50.5,0.0,0.0,0.0,0.0,0.0,20.0,0.0
Jesurun Rak Sakyi,ENG,"MF,FW",0,0,1,1,2023-2024,Crystal Palace,20,0,136,1.5,0.28,0.1,0.38,51.33,0.67,6.67,12.67,32.0,8.67,51.33,6.67,2.67,26.67,3.33,33.33,30.67,168.0,96.67,4.67,2.0,3.33,2.67,2.0,36.0,12.0
Aaron Ramsdale,ENG,GK,1,0,0,0,2023-2024,Arsenal,25,6,540,6.0,0.0,0.0,0.0,32.83,23.33,31.0,1.83,0.0,0.0,32.83,0.0,0.0,,0.0,,22.83,116.17,66.5,0.0,0.0,0.0,0.17,0.0,17.33,0.0
Aaron Ramsey,ENG,"MF,FW",0,0,1,1,2023-2024,Burnley,20,5,527,5.9,0.06,0.07,0.13,38.64,2.54,10.68,17.29,11.02,1.53,38.64,1.69,0.51,5.08,1.02,10.17,19.83,87.12,28.47,1.36,0.85,0.68,1.86,1.69,24.07,2.88
Jacob Ramsey,ENG,"FW,MF",0,0,1,1,2023-2024,Aston Villa,22,8,853,9.5,0.23,0.11,0.34,45.58,1.05,7.26,18.74,20.53,4.95,45.58,2.11,0.84,4.21,1.16,5.79,28.63,187.89,88.74,3.47,2.0,1.16,1.89,2.21,33.05,7.26
Marcus Rashford,ENG,FW,0,0,0,1,2023-2024,Manchester Utd,25,26,2271,25.2,0.29,0.09,0.38,40.67,0.95,4.92,13.69,22.66,5.16,40.6,4.33,1.9,1.75,2.1,1.93,27.38,197.54,94.96,3.77,2.02,2.54,2.34,1.51,31.71,7.34
David Raya,ESP,GK,1,0,0,0,2023-2024,Arsenal,27,32,2880,32.0,0.0,0.0,0.0,34.34,23.88,33.12,1.22,0.0,0.0,34.34,0.0,0.0,,0.0,,22.75,107.56,62.25,0.0,0.0,0.0,0.03,0.0,19.91,0.0
Tim Ream,USA,DF,0,1,0,0,2023-2024,Fulham,35,17,1503,16.7,0.06,0.0,0.06,72.22,9.58,35.03,35.93,1.8,0.42,72.22,0.42,0.36,5.13,0.06,0.86,44.25,248.92,163.05,0.66,0.36,0.12,0.36,0.18,48.56,0.18
Nathan Redmond,ENG,"FW,MF",0,0,1,1,2023-2024,Burnley,29,0,142,1.6,0.0,0.19,0.19,55.0,1.88,6.25,19.38,31.25,5.62,55.0,3.75,2.5,41.69,1.25,20.81,35.62,271.88,181.88,4.38,3.12,0.62,0.62,1.25,41.88,13.75
Harrison Reed,ENG,MF,0,0,1,0,2023-2024,Fulham,28,15,1325,14.7,0.02,0.07,0.09,60.07,2.31,14.56,33.2,12.38,0.68,60.07,0.68,0.34,3.4,0.34,3.4,30.54,116.67,40.14,0.68,0.68,0.07,1.29,0.88,41.02,2.72
Sergio Reguilón,ESP,DF,0,1,0,0,2023-2024,Manchester Utd,26,4,412,4.6,0.04,0.16,0.2,82.17,1.74,15.22,33.7,33.7,1.96,82.17,2.39,0.65,5.93,0.87,7.91,40.0,184.13,95.87,2.39,0.87,0.43,1.74,0.22,47.17,8.26
Sergio Reguilón,ESP,DF,0,1,0,0,2023-2024,Brentford,26,14,1118,12.4,0.06,0.23,0.29,57.1,4.44,19.52,20.4,18.39,1.77,57.1,2.1,1.05,4.03,0.89,3.41,25.65,160.32,93.55,2.74,2.02,0.16,1.77,0.4,26.77,3.23
Bobby Reid,JAM,FW,0,0,0,1,2023-2024,Fulham,30,17,1423,15.8,0.28,0.11,0.4,42.47,1.46,6.2,19.05,17.53,3.48,42.47,1.58,0.51,2.03,0.76,3.04,24.62,118.67,56.96,2.22,1.14,0.7,2.09,0.63,30.06,6.01
Gio Reyna,USA,"FW,MF",0,0,1,1,2023-2024,Nott'ham Forest,20,2,235,2.6,0.11,0.18,0.29,66.54,0.77,6.92,27.31,32.31,4.62,66.54,2.69,1.15,16.5,1.54,21.96,31.92,125.77,38.85,1.15,0.77,0.77,3.08,1.54,46.54,5.38
Rodrigo Ribeiro,POR,"MF,FW",0,0,1,1,2023-2024,Nott'ham Forest,18,0,17,0.2,0.0,0.0,0.0,60.0,0.0,5.0,20.0,35.0,10.0,60.0,5.0,0.0,0.0,5.0,500.0,35.0,295.0,215.0,10.0,5.0,0.0,0.0,5.0,40.0,5.0
Declan Rice,ENG,MF,0,0,1,0,2023-2024,Arsenal,24,37,3225,35.8,0.09,0.15,0.24,74.02,2.79,16.23,39.05,19.44,1.87,74.02,1.28,0.59,1.28,0.56,1.22,46.79,284.75,143.55,2.09,1.96,0.45,0.87,0.61,53.85,1.79
Chris Richards,USA,"DF,MF",0,1,1,0,2023-2024,Crystal Palace,23,23,2094,23.3,0.03,0.02,0.04,51.29,6.74,23.91,24.38,3.3,0.9,51.29,0.04,0.04,4.29,0.0,0.0,24.64,99.27,38.2,0.04,0.26,0.0,0.3,0.17,29.1,0.04
Richarlison,BRA,FW,0,0,0,1,2023-2024,Tottenham,26,18,1491,16.6,0.58,0.13,0.7,39.28,1.99,5.3,14.94,19.4,7.29,39.28,2.23,0.6,1.63,1.39,3.75,23.73,99.76,42.89,1.57,0.66,1.02,3.19,2.41,27.65,6.39
