Player,Nation,Pos,is_gk,is_df,is_mf,is_fw,Season,Squad,Age,Starts,Min,90s,xG.1,xAG.1,xG+xAG,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Daniel Podence,POR,"FW,MF",0,0,1,1,2019-2020,Wolves,23,3,289,3.2,0.39,0.21,0.6,45.31,0.62,5.0,15.62,25.94,3.75,45.31,3.44,2.19,19.88,1.25,11.37,33.12,231.56,135.0,5.62,3.44,0.31,2.5,1.25,37.19,7.5
Paul Pogba,FRA,MF,0,0,1,0,2019-2020,Manchester Utd,26,13,1204,13.4,0.18,0.19,0.37,87.69,2.39,15.75,53.21,19.55,1.94,87.61,2.84,2.01,5.31,0.82,2.16,53.13,232.99,118.28,2.01,1.49,0.37,1.42,2.39,68.06,2.24
Nick Pope,ENG,GK,1,0,0,0,2019-2020,Burnley,27,38,3420,38.0,0.0,0.01,0.01,33.68,25.95,32.61,1.05,0.03,0.03,33.68,0.0,0.0,,0.0,,16.13,116.24,91.84,0.0,0.0,0.0,0.03,0.0,9.87,0.0
Dennis Praet,BEL,MF,0,0,1,0,2019-2020,Leicester City,25,12,1134,12.6,0.07,0.11,0.18,56.59,1.59,11.98,28.25,16.9,1.43,56.59,1.98,0.95,3.81,1.03,4.13,34.92,151.11,63.57,0.79,1.43,0.16,2.14,1.35,36.51,3.33
Sebastian Prödl,AUT,DF,0,1,0,0,2019-2020,Watford,32,1,56,0.6,0.16,0.0,0.16,28.33,5.0,11.67,13.33,3.33,3.33,28.33,0.0,0.0,,0.0,,5.0,8.33,1.67,0.0,0.0,0.0,0.0,0.0,11.67,0.0
Davy Pröpper,NED,MF,0,0,1,0,2019-2020,Brighton,27,32,2829,31.4,0.05,0.08,0.13,68.76,2.13,14.55,42.07,13.09,0.92,68.76,2.04,1.46,2.29,0.57,0.89,38.22,228.54,108.44,1.75,1.56,0.22,1.94,0.76,48.38,1.37
Teemu Pukki,FIN,FW,0,0,0,1,2019-2020,Norwich City,29,33,2886,32.1,0.35,0.12,0.47,24.67,0.5,1.84,9.28,13.77,4.86,24.61,1.34,0.75,1.74,0.59,1.38,13.93,83.15,37.79,1.43,0.75,1.09,1.81,1.06,16.42,6.04
Christian Pulisic,USA,FW,0,0,0,1,2019-2020,Chelsea,20,19,1722,19.1,0.47,0.19,0.66,52.62,0.31,5.24,20.42,27.85,6.7,52.62,5.65,2.88,2.66,2.77,2.57,38.95,286.7,155.29,5.6,4.19,2.46,2.77,3.3,43.46,9.84
Ignacio Pussetto,ARG,"FW,MF",0,0,1,1,2019-2020,Watford,23,0,74,0.8,0.0,0.0,0.0,75.0,3.75,26.25,32.5,17.5,1.25,75.0,6.25,2.5,50.0,3.75,75.0,30.0,173.75,42.5,1.25,0.0,0.0,3.75,2.5,27.5,0.0
Domingos Quina,POR,"MF,FW",0,0,1,1,2019-2020,Watford,19,0,22,0.2,0.11,0.0,0.11,115.0,0.0,25.0,70.0,20.0,0.0,115.0,10.0,5.0,250.0,5.0,250.0,65.0,335.0,115.0,5.0,0.0,0.0,10.0,5.0,60.0,0.0
Aaron Ramsdale,ENG,GK,1,0,0,0,2019-2020,Bournemouth,21,37,3330,37.0,0.0,0.02,0.02,33.68,29.41,33.3,0.35,0.03,0.0,33.68,0.0,0.0,,0.0,,17.89,108.68,71.38,0.0,0.0,0.0,0.0,0.0,10.89,0.0
Darren Randolph,IRL,GK,1,0,0,0,2019-2020,West Ham,32,2,180,2.0,0.0,0.0,0.0,24.0,21.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,,0.0,,6.5,72.5,61.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Marcus Rashford,ENG,FW,0,0,0,1,2019-2020,Manchester Utd,21,31,2643,29.4,0.65,0.17,0.82,45.71,0.71,2.55,15.75,27.99,5.17,45.44,4.15,2.04,1.67,2.11,1.73,27.28,192.48,102.31,3.57,2.72,1.67,2.24,1.16,36.63,8.5
Nathan Redmond,ENG,"MF,FW",0,0,1,1,2019-2020,Southampton,25,32,2762,30.7,0.17,0.11,0.27,46.97,0.98,5.8,20.72,22.05,3.58,46.97,4.01,2.57,2.09,1.43,1.17,29.58,227.46,114.01,4.1,2.64,1.69,2.38,1.69,32.25,6.51
Pepe Reina,ESP,GK,1,0,0,0,2019-2020,Aston Villa,36,12,1080,12.0,0.0,0.0,0.0,36.08,30.83,35.5,0.58,0.0,0.0,36.08,0.0,0.0,,0.0,,16.25,104.83,63.08,0.0,0.0,0.0,0.08,0.0,13.83,0.0
Declan Rice,ENG,MF,0,0,1,0,2019-2020,West Ham,20,38,3420,38.0,0.03,0.04,0.07,56.42,2.76,15.29,35.16,7.08,0.63,56.42,1.71,1.29,1.98,0.42,0.65,32.37,196.92,87.97,1.37,1.24,0.08,0.68,0.55,33.63,0.95
Richarlison,BRA,"FW,MF",0,0,1,1,2019-2020,Everton,22,36,3070,34.1,0.27,0.2,0.46,39.41,1.44,4.99,15.31,20.09,5.07,39.41,3.26,1.79,1.61,1.47,1.32,25.07,170.12,74.63,2.79,1.99,1.29,2.7,2.17,27.51,6.51
Diego Rico,ESP,DF,0,1,0,0,2019-2020,Bournemouth,26,27,2332,25.9,0.02,0.12,0.14,72.05,3.9,24.94,29.38,18.15,0.39,72.05,0.93,0.5,2.09,0.42,1.77,32.05,138.46,75.41,1.62,1.43,0.04,1.0,0.81,32.24,3.13
Jaïro Riedewald,NED,"DF,MF",0,1,1,0,2019-2020,Crystal Palace,22,7,769,8.5,0.01,0.02,0.03,56.24,3.41,15.88,29.53,11.18,0.59,56.24,1.29,0.94,8.55,0.35,3.21,22.12,99.65,47.06,0.94,0.82,0.0,1.29,0.82,29.18,2.35
Matt Ritchie,SCO,"DF,MF",0,1,1,0,2019-2020,Newcastle Utd,29,14,1315,14.6,0.12,0.16,0.28,58.56,2.81,14.38,24.93,19.86,0.96,58.49,0.96,0.55,3.91,0.41,2.94,29.11,141.99,73.42,1.58,1.58,0.14,1.37,0.48,31.92,2.95
Roberto,ESP,GK,1,0,0,0,2019-2020,West Ham,33,7,687,7.6,0.0,0.0,0.0,33.95,30.13,33.82,0.13,0.0,0.0,33.95,0.0,0.0,,0.0,,15.39,101.05,81.45,0.0,0.0,0.0,0.13,0.0,10.26,0.0
Patrick Roberts,ENG,"FW,MF",0,0,1,1,2019-2020,Norwich City,22,0,26,0.3,0.0,0.0,0.0,36.67,0.0,6.67,23.33,13.33,0.0,36.67,13.33,13.33,333.33,0.0,0.0,30.0,280.0,173.33,3.33,6.67,0.0,0.0,0.0,30.0,6.67
Andrew Robertson,SCO,DF,0,1,0,0,2019-2020,Liverpool,25,34,3111,34.6,0.05,0.22,0.27,95.26,2.57,17.98,45.52,32.63,2.4,95.26,1.27,0.64,1.45,0.64,1.45,62.2,308.06,190.84,4.31,3.32,0.58,1.45,0.26,66.97,8.01
Callum Robinson,IRL,"FW,MF",0,0,1,1,2019-2020,Sheffield Utd,24,9,676,7.5,0.21,0.05,0.26,29.6,0.0,2.53,12.93,14.53,3.07,29.6,1.73,0.67,5.13,1.07,8.2,17.47,91.73,40.13,1.6,0.8,0.4,2.13,2.27,20.53,6.67
Jack Robinson,ENG,DF,0,1,0,0,2019-2020,Sheffield Utd,25,6,504,5.6,0.0,0.03,0.03,61.25,6.25,24.29,33.21,4.29,0.18,61.25,0.36,0.36,17.86,0.0,0.0,31.96,148.04,92.32,0.71,0.18,0.0,0.71,0.18,32.68,0.18
Rodri,ESP,MF,0,0,1,0,2019-2020,Manchester City,23,29,2486,27.6,0.03,0.09,0.13,101.78,2.97,18.77,66.96,17.07,1.01,101.78,1.2,1.09,3.29,0.11,0.33,75.54,351.7,185.33,1.49,2.57,0.04,0.8,1.01,80.14,0.76
Jay Rodriguez,ENG,FW,0,0,0,1,2019-2020,Burnley,30,20,2016,22.4,0.39,0.03,0.42,34.78,0.89,3.04,14.42,17.77,3.66,34.73,1.74,0.8,2.06,0.94,2.4,19.82,94.2,33.3,1.38,1.21,0.62,2.77,1.92,24.6,5.62
Jack Rodwell,ENG,MF,0,0,1,0,2019-2020,Sheffield Utd,28,0,16,0.2,0.0,0.0,0.0,15.0,5.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Marcos Rojo,ARG,DF,0,1,0,0,2019-2020,Manchester Utd,29,1,122,1.4,0.15,0.0,0.15,52.86,5.71,17.86,26.43,8.57,1.43,52.86,0.71,0.0,0.0,0.71,71.43,23.57,97.86,50.0,0.0,0.71,0.0,0.0,0.0,29.29,0.71
Oriol Romeu,ESP,MF,0,0,1,0,2019-2020,Southampton,27,20,1860,20.7,0.01,0.08,0.09,62.37,3.19,12.95,41.98,7.97,0.19,62.37,0.77,0.63,3.93,0.14,0.91,28.21,121.88,58.99,0.82,1.06,0.0,0.68,0.19,35.41,0.63
Danny Rose,ENG,DF,0,1,0,0,2019-2020,Tottenham,29,10,893,9.9,0.01,0.06,0.07,68.69,4.55,18.38,32.53,18.59,1.31,68.69,2.02,1.01,5.05,1.01,5.05,38.79,190.3,116.67,2.32,1.52,0.2,1.11,0.51,42.73,3.03
Danny Rose,ENG,DF,0,1,0,0,2019-2020,Newcastle Utd,29,10,863,9.6,0.0,0.02,0.02,51.77,2.29,15.83,29.27,7.19,0.42,51.77,0.94,0.52,5.79,0.42,4.62,31.35,143.85,80.42,0.42,1.25,0.0,0.62,0.1,30.31,2.19
Antonio Rüdiger,GER,DF,0,1,0,0,2019-2020,Chelsea,26,19,1710,19.0,0.05,0.03,0.08,87.74,8.0,38.84,45.89,3.58,0.84,87.74,0.21,0.16,3.95,0.05,1.32,60.26,333.11,200.84,0.58,1.21,0.0,0.26,0.16,64.0,0.0
Lukas Rupp,GER,"FW,MF",0,0,1,1,2019-2020,Norwich City,28,8,695,7.7,0.11,0.11,0.22,45.71,2.86,11.43,23.64,11.04,1.69,45.71,0.78,0.52,8.66,0.26,4.32,25.45,102.99,30.26,0.39,0.65,0.13,1.95,2.34,28.31,2.99
Mathew Ryan,AUS,GK,1,0,0,0,2019-2020,Brighton,27,38,3420,38.0,0.0,0.0,0.0,41.13,33.11,40.97,0.16,0.0,0.0,41.13,0.0,0.0,,0.0,,23.87,124.55,75.58,0.0,0.0,0.0,0.05,0.0,22.42,0.0
Allan Saint-Maximin,FRA,"MF,FW",0,0,1,1,2019-2020,Newcastle Utd,22,23,1863,20.7,0.16,0.16,0.32,37.0,0.58,5.56,14.98,18.74,3.77,37.0,8.7,5.85,3.25,2.85,1.58,29.76,307.92,186.09,6.04,3.57,2.22,3.53,2.46,27.1,4.44
Romain Saïss,MAR,DF,0,1,0,0,2019-2020,Wolves,29,31,2705,30.1,0.11,0.04,0.16,66.31,5.38,28.54,35.08,2.92,0.93,66.31,0.33,0.23,2.33,0.1,1.0,30.76,127.64,78.04,0.33,0.27,0.07,0.43,0.17,39.6,0.3
Bukayo Saka,ENG,"DF,FW",0,1,0,1,2019-2020,Arsenal,17,19,1753,19.5,0.05,0.17,0.22,53.74,1.79,12.82,20.97,20.26,3.03,53.74,2.82,1.64,2.98,1.18,2.14,30.87,199.59,111.38,3.44,2.1,1.23,2.15,1.13,35.49,7.33
Mamadou Sakho,FRA,DF,0,1,0,0,2019-2020,Crystal Palace,29,11,931,10.3,0.0,0.01,0.01,62.23,8.93,35.73,26.31,0.87,0.29,62.23,0.49,0.39,7.77,0.1,1.94,34.66,147.38,70.87,0.1,0.19,0.0,0.58,0.49,38.83,0.19
Mohamed Salah,EGY,FW,0,0,0,1,2019-2020,Liverpool,27,33,2876,32.0,0.59,0.25,0.84,42.75,0.12,1.84,12.03,29.22,9.09,42.66,2.59,1.56,1.88,1.03,1.24,32.41,171.38,85.06,3.28,1.59,2.25,2.75,2.09,34.06,10.84
Mbwana Samatta,TAN,FW,0,0,0,1,2019-2020,Aston Villa,26,11,943,10.5,0.22,0.06,0.28,25.71,0.67,1.24,11.81,13.05,3.14,25.71,1.43,0.86,5.71,0.57,3.81,13.05,62.57,14.67,0.57,0.38,0.1,2.48,1.14,18.57,4.67
Carlos Sánchez,COL,MF,0,0,1,0,2019-2020,West Ham,33,1,117,1.3,0.0,0.0,0.0,49.23,2.31,7.69,36.92,4.62,0.0,49.23,0.77,0.77,76.92,0.0,0.0,22.31,74.62,10.77,0.0,0.0,0.0,0.0,0.77,26.15,0.0
Davinson Sánchez,COL,DF,0,1,0,0,2019-2020,Tottenham,23,27,2431,27.0,0.02,0.0,0.03,68.78,9.48,34.37,33.15,1.7,0.56,68.78,0.37,0.3,2.96,0.07,0.74,44.0,184.15,92.63,0.37,0.37,0.04,0.44,0.22,44.93,0.33
Leroy Sané,GER,FW,0,0,0,1,2019-2020,Manchester City,23,0,12,0.1,0.86,0.0,0.86,90.0,0.0,0.0,20.0,70.0,10.0,90.0,0.0,0.0,,0.0,,70.0,390.0,190.0,20.0,10.0,10.0,0.0,0.0,80.0,40.0
Ismaila Sarr,SEN,"FW,MF",0,0,1,1,2019-2020,Watford,21,22,2028,22.5,0.27,0.2,0.47,38.58,0.49,4.09,13.69,21.78,4.53,38.58,4.27,2.09,2.18,2.18,2.27,30.22,222.76,116.89,4.76,3.2,1.51,3.33,2.49,30.13,8.89
Fabian Schär,SUI,"DF,MF",0,1,1,0,2019-2020,Newcastle Utd,27,18,1672,18.6,0.08,0.01,0.09,56.61,6.61,27.74,24.68,5.16,1.02,56.61,1.29,0.86,3.59,0.43,1.79,28.49,159.25,97.74,1.08,0.86,0.11,0.75,0.27,29.89,0.32
Ezequiel Schelotto,ITA,DF,0,1,0,0,2019-2020,Brighton,30,4,361,4.0,0.06,0.0,0.06,58.0,4.0,18.25,18.75,21.5,2.0,58.0,2.0,1.25,15.62,0.75,9.38,28.5,210.0,108.25,3.75,3.25,0.5,3.25,1.5,32.25,10.0
Jeffrey Schlupp,GHA,"FW,MF",0,0,1,1,2019-2020,Crystal Palace,26,11,1036,11.5,0.15,0.07,0.22,42.26,1.22,9.04,20.0,13.83,2.61,42.26,2.09,1.13,4.71,0.96,3.98,21.3,132.09,55.3,2.0,1.48,1.04,2.17,1.39,27.3,4.61
Kasper Schmeichel,DEN,GK,1,0,0,0,2019-2020,Leicester City,32,38,3420,38.0,0.0,0.01,0.01,33.26,27.74,32.79,0.47,0.0,0.0,33.26,0.03,0.0,0.0,0.03,2.63,18.24,87.0,55.05,0.0,0.0,0.0,0.03,0.0,14.76,0.0
Morgan Schneiderlin,FRA,MF,0,0,1,0,2019-2020,Everton,29,12,1001,11.1,0.02,0.01,0.03,61.71,2.34,13.96,39.91,8.2,0.36,61.71,0.27,0.27,9.01,0.0,0.0,35.68,141.89,56.85,0.36,0.54,0.0,0.63,0.36,39.19,0.27
Ryan Sessegnon,ENG,"DF,FW",0,1,0,1,2019-2020,Tottenham,19,4,342,3.8,0.02,0.02,0.03,61.32,1.84,13.16,27.37,21.58,2.37,61.32,1.58,1.05,17.55,0.53,8.76,39.74,167.37,110.0,3.42,1.84,0.79,2.63,0.26,38.68,6.32
Xherdan Shaqiri,SUI,"FW,MF",0,0,1,1,2019-2020,Liverpool,27,2,185,2.1,0.25,0.09,0.33,59.52,0.0,6.67,32.38,20.48,0.95,59.52,1.9,0.95,23.81,0.95,23.81,44.29,157.62,54.29,0.48,0.0,0.0,0.95,2.86,45.24,7.14
Billy Sharp,ENG,FW,0,0,0,1,2019-2020,Sheffield Utd,33,10,1051,11.7,0.33,0.19,0.52,27.35,0.17,2.14,8.8,16.92,4.7,27.35,1.88,1.37,6.21,0.51,2.33,18.72,99.66,40.17,1.54,0.77,0.6,2.99,2.65,21.71,9.06
Luke Shaw,ENG,DF,0,1,0,0,2019-2020,Manchester Utd,24,20,1733,19.3,0.03,0.07,0.11,78.13,3.89,21.61,34.92,22.18,1.76,78.13,1.61,1.14,3.68,0.47,1.5,40.83,225.96,137.25,3.11,2.44,0.41,0.78,0.16,50.57,5.34
Jonjo Shelvey,ENG,MF,0,0,1,0,2019-2020,Newcastle Utd,27,25,2119,23.5,0.1,0.15,0.26,57.57,2.47,14.51,32.64,11.11,0.94,57.57,0.85,0.64,3.19,0.21,1.06,30.38,145.19,67.19,0.94,0.81,0.3,1.02,0.43,34.3,1.19
Djibril Sidibé,FRA,"DF,MF",0,1,1,0,2019-2020,Everton,27,18,1824,20.3,0.02,0.11,0.13,72.36,2.66,20.54,33.15,19.41,0.99,72.36,1.23,0.69,2.76,0.54,2.17,38.33,181.38,98.97,3.0,2.12,0.2,1.38,0.59,39.9,5.02
Gylfi Sigurðsson,ISL,MF,0,0,1,0,2019-2020,Everton,29,28,2560,28.4,0.14,0.15,0.29,50.39,1.3,7.68,25.7,17.29,1.76,50.35,1.06,0.56,1.88,0.49,1.64,25.35,102.39,34.12,0.95,0.88,0.32,1.44,0.92,29.72,2.57
Bernardo Silva,POR,"FW,MF",0,0,1,1,2019-2020,Manchester City,24,23,2030,22.6,0.26,0.22,0.48,75.71,0.84,7.57,30.88,38.01,6.28,75.71,2.43,1.77,3.22,0.66,1.21,55.58,311.64,170.18,5.18,2.79,2.12,1.06,0.93,58.54,11.46
David Silva,ESP,MF,0,0,1,0,2019-2020,Manchester City,33,22,1826,20.3,0.31,0.32,0.63,84.19,0.99,6.4,37.14,41.23,8.47,84.19,2.17,1.63,3.69,0.54,1.23,60.34,287.04,145.42,4.04,3.5,1.53,1.67,0.94,69.31,8.62
Jack Simpson,ENG,DF,0,1,0,0,2019-2020,Bournemouth,22,1,241,2.7,0.01,0.02,0.04,49.26,7.04,24.44,22.59,2.59,0.37,49.26,1.85,1.48,29.63,0.37,7.41,24.44,101.11,28.15,0.0,0.0,0.0,0.37,0.74,24.44,1.11
Moussa Sissoko,FRA,MF,0,0,1,0,2019-2020,Tottenham,29,28,2452,27.2,0.08,0.04,0.12,58.27,2.54,13.64,32.65,13.05,1.1,58.27,2.46,1.47,2.19,0.99,1.48,37.28,200.74,104.63,2.65,1.43,0.37,1.43,0.77,37.24,2.13
Oliver Skipp,ENG,MF,0,0,1,0,2019-2020,Tottenham,18,1,77,0.9,0.0,0.0,0.0,51.11,2.22,15.56,32.22,3.33,0.0,51.11,0.0,0.0,,0.0,,30.0,80.0,43.33,0.0,1.11,0.0,1.11,1.11,31.11,0.0
William Smallbone,IRL,MF,0,0,1,0,2019-2020,Southampton,19,4,393,4.4,0.06,0.04,0.1,57.95,0.45,9.32,32.5,16.82,1.59,57.95,0.23,0.0,0.0,0.23,22.73,29.32,119.32,55.91,0.91,0.68,0.23,1.14,0.45,41.36,2.95
Adam Smith,ENG,DF,0,1,0,0,2019-2020,Bournemouth,28,24,2055,22.8,0.03,0.05,0.08,57.94,3.03,17.32,26.75,14.43,1.01,57.94,2.24,1.05,2.07,1.18,2.32,32.11,204.78,116.36,3.29,2.28,0.26,1.18,0.61,31.93,3.03
Emile Smith Rowe,ENG,MF,0,0,1,0,2019-2020,Arsenal,19,1,97,1.1,0.0,0.0,0.0,41.82,1.82,9.09,19.09,15.45,0.0,41.82,2.73,1.82,60.64,0.91,30.27,29.09,219.09,131.82,3.64,3.64,0.0,3.64,0.91,35.45,4.55
Robert Snodgrass,SCO,"MF,FW",0,0,1,1,2019-2020,West Ham,31,17,1509,16.8,0.15,0.19,0.34,47.74,0.89,7.38,18.21,22.8,2.8,47.74,2.14,1.13,3.14,1.01,2.81,24.23,161.49,64.52,2.62,1.37,1.19,0.95,1.49,29.4,6.96
Cédric Soares,POR,"MF,DF",0,1,1,0,2019-2020,Arsenal,27,3,249,2.8,0.01,0.01,0.02,59.64,2.14,13.93,25.36,20.71,0.71,59.64,0.71,0.71,35.71,0.0,0.0,30.0,141.43,72.14,2.14,2.14,0.0,1.43,0.36,32.86,8.93
Cédric Soares,POR,DF,0,1,0,0,2019-2020,Southampton,27,16,1306,14.5,0.04,0.05,0.09,64.21,4.0,17.03,30.62,16.9,1.1,64.21,0.28,0.28,6.9,0.0,0.0,23.45,126.83,64.9,2.0,1.72,0.14,1.24,0.62,28.21,3.17
Dominic Solanke,ENG,FW,0,0,0,1,2019-2020,Bournemouth,21,17,1651,18.3,0.25,0.07,0.32,36.45,0.98,4.15,15.79,16.83,4.1,36.45,3.39,1.42,2.29,1.97,3.17,22.84,140.44,54.37,1.91,1.42,0.82,2.84,2.95,25.63,5.96
Tomáš Souček,CZE,MF,0,0,1,0,2019-2020,West Ham,24,12,1040,11.6,0.24,0.03,0.27,47.07,3.79,13.28,23.62,10.6,3.1,47.07,0.34,0.0,0.0,0.34,8.62,21.81,65.95,22.16,0.26,0.17,0.09,0.95,0.09,24.83,1.47
Çağlar Söyüncü,TUR,DF,0,1,0,0,2019-2020,Leicester City,23,34,3036,33.7,0.06,0.02,0.09,80.12,7.8,39.85,38.66,1.93,0.98,80.12,0.65,0.5,2.29,0.15,0.67,52.79,266.94,126.97,0.65,0.3,0.0,0.5,0.06,55.31,0.15
Dennis Srbeny,GER,"MF,FW",0,0,1,1,2019-2020,Norwich City,25,0,47,0.5,1.0,0.0,1.0,62.0,2.0,8.0,32.0,22.0,6.0,62.0,10.0,4.0,80.0,6.0,120.0,40.0,94.0,12.0,0.0,0.0,0.0,2.0,6.0,44.0,8.0
Jack Stacey,ENG,DF,0,1,0,0,2019-2020,Bournemouth,23,17,1549,17.2,0.03,0.13,0.16,56.05,5.06,20.41,24.19,12.03,1.28,56.05,1.34,0.93,4.05,0.41,1.77,28.95,160.93,91.05,2.21,1.22,0.35,0.87,0.64,27.79,3.31
Junior Stanislas,ENG,"MF,FW",0,0,1,1,2019-2020,Bournemouth,29,7,712,7.9,0.27,0.1,0.37,48.99,1.14,8.23,16.84,24.3,2.28,48.86,2.28,1.39,7.73,0.89,4.92,27.85,167.22,96.71,3.8,1.9,0.76,1.52,1.01,29.87,5.32
Jed Steer,ENG,GK,1,0,0,0,2019-2020,Aston Villa,26,1,7,0.1,0.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Dale Stephens,ENG,MF,0,0,1,0,2019-2020,Brighton,30,28,2530,28.1,0.02,0.05,0.07,70.07,3.63,18.86,42.67,8.9,0.25,70.07,0.43,0.36,2.96,0.07,0.59,35.12,167.47,65.27,0.32,1.07,0.07,0.68,0.46,47.54,0.5
Jack Stephens,ENG,DF,0,1,0,0,2019-2020,Southampton,25,27,2451,27.2,0.04,0.05,0.09,58.53,7.21,26.47,30.59,1.91,0.74,58.53,0.4,0.26,2.34,0.15,1.34,28.82,153.12,92.68,0.62,0.29,0.11,0.62,0.15,31.54,0.4
Raheem Sterling,ENG,FW,0,0,0,1,2019-2020,Manchester City,24,30,2651,29.5,0.62,0.21,0.83,54.51,0.37,2.88,17.25,34.92,9.19,54.44,3.63,1.9,1.77,1.73,1.62,41.22,249.05,134.54,5.12,2.34,3.08,2.27,2.03,44.71,14.54
Enda Stevens,IRL,DF,0,1,0,0,2019-2020,Sheffield Utd,29,38,3345,37.2,0.04,0.14,0.18,61.56,2.23,13.49,25.81,22.9,1.96,61.56,2.26,1.64,1.95,0.59,0.7,30.54,158.92,85.4,2.47,1.69,0.54,1.48,1.16,35.91,5.3
Marco Stiepermann,GER,MF,0,0,1,0,2019-2020,Norwich City,28,14,1180,13.1,0.11,0.06,0.18,42.82,2.14,6.41,20.61,16.18,2.98,42.82,2.21,1.3,4.47,0.92,3.16,27.33,144.58,75.95,2.67,2.06,0.61,1.98,1.6,31.53,3.97
John Stones,ENG,DF,0,1,0,0,2019-2020,Manchester City,25,12,1122,12.5,0.03,0.01,0.04,90.16,7.84,30.8,54.8,5.04,0.96,90.16,0.4,0.4,8.0,0.0,0.0,66.8,452.88,287.52,1.76,1.92,0.0,0.24,0.0,69.52,0.08
Isaac Success,NGA,"FW,MF",0,0,1,1,2019-2020,Watford,23,0,70,0.8,0.07,0.07,0.14,40.0,0.0,2.5,12.5,25.0,1.25,40.0,3.75,1.25,41.62,2.5,83.38,35.0,163.75,73.75,5.0,2.5,0.0,6.25,2.5,37.5,11.25
Ki Sung-yueng,KOR,MF,0,0,1,0,2019-2020,Newcastle Utd,30,1,137,1.5,0.0,0.05,0.05,52.0,2.0,14.0,26.67,11.33,0.0,52.0,1.33,1.33,66.67,0.0,0.0,28.0,112.0,50.67,0.67,0.67,0.0,0.67,1.33,34.0,2.0
Andrew Surman,ENG,MF,0,0,1,0,2019-2020,Bournemouth,32,2,235,2.6,0.01,0.02,0.02,58.46,3.46,20.0,31.54,7.69,0.0,58.46,0.0,0.0,,0.0,,33.46,119.62,39.23,0.38,0.38,0.0,1.54,0.77,32.69,0.38
Sam Surridge,ENG,"FW,MF",0,0,1,1,2019-2020,Bournemouth,21,0,27,0.3,1.75,0.19,1.94,73.33,0.0,10.0,20.0,43.33,20.0,73.33,6.67,3.33,166.67,3.33,166.67,40.0,203.33,66.67,0.0,0.0,3.33,10.0,3.33,53.33,16.67
Japhet Tanganga,ENG,DF,0,1,0,0,2019-2020,Tottenham,20,6,525,5.8,0.01,0.01,0.02,56.03,6.03,23.28,27.93,5.52,0.34,56.03,1.21,1.03,14.78,0.17,2.47,30.17,129.48,67.24,0.52,0.52,0.0,2.24,0.86,27.76,1.21
Matt Targett,ENG,"DF,MF",0,1,1,0,2019-2020,Aston Villa,23,27,2291,25.5,0.02,0.1,0.12,59.14,4.59,19.49,24.9,15.37,1.02,59.14,0.82,0.31,1.49,0.51,2.43,25.14,99.96,53.96,0.86,1.14,0.2,0.63,0.55,30.2,3.18
James Tarkowski,ENG,DF,0,1,0,0,2019-2020,Burnley,26,38,3420,38.0,0.06,0.08,0.14,48.32,8.05,22.74,23.05,2.74,1.89,48.32,0.34,0.34,2.63,0.0,0.0,18.42,83.0,36.05,0.05,0.11,0.0,0.45,0.11,21.0,0.05
Charlie Taylor,ENG,DF,0,1,0,0,2019-2020,Burnley,25,22,1945,21.6,0.0,0.04,0.04,62.31,4.63,18.8,28.52,15.79,0.42,62.31,1.85,0.88,2.2,0.97,2.43,24.49,203.61,89.72,2.82,1.57,0.23,1.02,0.51,28.47,2.13
Neil Taylor,WAL,DF,0,1,0,0,2019-2020,Aston Villa,30,11,1091,12.1,0.01,0.03,0.05,52.4,4.88,19.09,24.13,9.42,0.41,52.4,0.17,0.17,8.26,0.0,0.0,20.83,81.9,45.21,0.58,0.41,0.0,0.41,0.17,27.02,2.07
Nathan Tella,NGA,FW,0,0,0,1,2019-2020,Southampton,20,0,3,0.0,1.27,0.0,1.27,inf,,,inf,inf,inf,inf,,,,,,inf,inf,inf,inf,,inf,,,inf,inf
Alexander Tettey,NOR,"MF,DF",0,1,1,0,2019-2020,Norwich City,33,28,2338,26.0,0.03,0.02,0.05,59.12,4.58,20.54,33.5,5.46,0.42,59.12,0.77,0.58,2.88,0.19,0.96,35.54,165.62,74.15,0.73,0.65,0.04,0.69,0.31,36.81,0.46
Jordan Thomas,ENG,FW,0,0,0,1,2019-2020,Norwich City,18,0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Luke Thomas,ENG,"MF,DF",0,1,1,0,2019-2020,Leicester City,18,3,267,3.0,0.0,0.21,0.21,74.33,1.67,12.67,35.33,27.33,1.67,74.33,1.0,1.0,33.33,0.0,0.0,38.67,162.67,73.0,2.0,0.67,0.67,2.33,1.0,49.67,5.33
Max Thompson,ENG,FW,0,0,0,1,2019-2020,Burnley,17,0,3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
